time,BinaryProtocol:bytesReadPerSecond,BinaryProtocol:bytesWrittenPerSecond,BinaryProtocol:messagesReadPerSecond,BinaryProtocol:messagesWrittenPerSecond,BinaryProtocol:nAckMessages,BinaryProtocol:nBytesRead,BinaryProtocol:nBytesWritten,BinaryProtocol:nEntriesOldVersion,BinaryProtocol:nGroupAckMessages,BinaryProtocol:nGroupedAcks,BinaryProtocol:nMaxGroupedAcks,BinaryProtocol:nMessageBatches,BinaryProtocol:nMessagesBatched,BinaryProtocol:nMessagesRead,BinaryProtocol:nMessagesWritten,BinaryProtocol:nReadNanos,BinaryProtocol:nWriteNanos,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,ConsistencyTracker:nLagConsistencyWaitMS,ConsistencyTracker:nLagConsistencyWaits,ConsistencyTracker:nVLSNConsistencyWaitMS,ConsistencyTracker:nVLSNConsistencyWaits,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,FeederManager:nFeedersCreated,FeederManager:nFeedersShutdown,FeederManager:nMaxReplicaLag,FeederManager:nMaxReplicaLagName,FeederManager:replicaDelayMap,FeederManager:replicaLastCommitTimestampMap,FeederManager:replicaLastCommitVLSNMap,FeederManager:replicaVLSNLagMap,FeederManager:replicaVLSNRateMap,FeederTxns:ackWaitMS,FeederTxns:lastCommitTimestamp,FeederTxns:lastCommitVLSN,FeederTxns:totalTxnMS,FeederTxns:txnsAcked,FeederTxns:txnsNotAcked,FeederTxns:vlsnRate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,Replay:latestCommitLagMs,Replay:maxCommitProcessingNanos,Replay:minCommitProcessingNanos,Replay:nAborts,Replay:nCommitAcks,Replay:nCommitNoSyncs,Replay:nCommitSyncs,Replay:nCommitWriteNoSyncs,Replay:nCommits,Replay:nElapsedTxnTime,Replay:nGroupCommitMaxExceeded,Replay:nGroupCommitTimeouts,Replay:nGroupCommitTxns,Replay:nGroupCommits,Replay:nLNs,Replay:nMessageQueueOverflows,Replay:nNameLNs,Replay:totalCommitLagMs,Replay:totalCommitProcessingNanos,VLSNIndex:nBucketsCreated,VLSNIndex:nHeadBucketsDeleted,VLSNIndex:nHits,VLSNIndex:nMisses,VLSNIndex:nTailBucketsDeleted
2022-10-17 03:08:14.666 UTC, , , , , , , , , , , , , , , , , , ,125,3159717,952,13864, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1203,1,566,566,1, ,2,4, ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1665976094360, , , , , , , , , , , , , , , , , , , , ,3145728, , , , ,22,1,43,1,2,1, , ,3,2, , , , , , , ,38,1, , ,2048,1,1213,1, , , , , , ,4,65,107941216,15, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-17 03:08:14.899 UTC, , , , , , , , , , , , , , , , , , ,589,3164485,1184,18168, , ,4, ,16, , , , , , , , , ,4,4, , , , ,1,7, ,8, , , , , , , , , , , , , , ,1203,1,566,566, , , , , ,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1665976094360, , , , , , , , , , , , , , , , , , , , ,3145728, , , , ,21,4,78,4,2,4, , ,3,4, , , , , , , , , , , ,4096,2,803,4, , , , , , , , ,114232672,15, , , , , , ,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-17 03:08:20.198 UTC, , , , , , , , , , , , , , , , , , ,125,3167749,1288,21896, , ,5, ,44,4,0.09, , , , , , , ,5,5, ,7, ,1,2,8, ,37,9, , , , , , , , , , , , , ,3423,2,2318,2318,1,1,4,9, ,43,43, , , , , ,1,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1665976099918, , , , , , , , , , , , , , , , , , , , ,3145728, , , ,17,20,2,58,2,4,2, , ,3,3, , , ,17, ,2048,1, , , , ,104852,30,1417,2, , , , , , ,5,78,53496296,15, , , , , , ,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-10-17 03:09:20.223 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3186357,1752,39816,224, ,7, ,122, , , , , , , , , ,7,7, , , ,1,2,9, ,125,3, , , , , , , , , , , , , ,3423,2,2318,2318, , , , , ,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1665976099918, , , , , , ,0, , , , , , , ,1665976158330,74, , , ,58,3145728, , , ,5,38,26,574,26,3,37, , ,3,28, , , ,5,1, , , , , , ,9502,8,9430,37, , , , , , ,1,17,106424896,9, , , , , , ,79, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24, , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , ,1, , , , 
2022-10-17 03:10:20.240 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3194077,1752,47536,224, ,7, ,93, , , , , , , , , ,7,7, , , ,1,2,9, ,102, , , , , , , , , , , , , , ,3423,2,2318,2318, , , , , ,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1665976099918, , , , , , ,0, , , , , , , ,1665976218790,124, , , ,49,3145728, , , , ,25,19,483,19, ,31, , ,3,23, , , , ,1, , , , , , , , ,8451,31, , , , , , , , ,123202112,5, , , , , , ,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19, , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2022-10-17 03:11:20.266 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3201613,1752,55072,224, ,7, ,92, , , , , , , , , ,7,7, , , ,1,2,9, ,102, , , , , , , , , , , , , , ,3423,2,2318,2318, , , , , ,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1665976099918, , , , , , ,0, , , , , , , ,1665976279288,172, , , ,50,3145728, , , , ,54,18,484,18, ,30, , ,3,21, , , , ,1, , , , , , , , ,8327,30, , , , , , ,1,19,116572752,4, , , , , , ,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2022-10-17 03:12:20.279 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3209149,1752,62608,224, ,7, ,92, , , , , , , , , ,7,7, , , ,1,2,9, ,102, , , , , , , , , , , , , , ,3423,2,2318,2318, , , , , ,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1665976099918, , , , , , ,0, , , , , , , ,1665976339788,220, , , ,51,3145728, , , , ,23,18,437,18, ,30, , ,3,21, , , , ,1, , , , , , , , ,8340,30, , , , , , , , ,122864208,5, , , , , , ,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2022-10-17 03:13:20.295 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3216685,1752,70144,224, ,7, ,92, , , , , , , , , ,7,7, , , ,1,2,9, ,102, , , , , , , , , , , , , , ,3423,2,2318,2318, , , , , ,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1665976099918, , , , , , ,0, , , , , , , ,1665976400273,268, , , ,52,3145728, , ,618, ,24,18,442,18, ,30, , ,3,21, , , , ,1, , , , , , , , ,8340,30, , , ,1, , , , ,129155664,4, , , , , , ,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2022-10-17 03:14:20.303 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3222965,1752,76424,224, ,7, ,85, , , , , , , , , ,7,7, , , ,1,2,9, ,94, , , , , , , , , , , , , , ,3423,2,2318,2318, , , , , ,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1665976099918, , , , , , ,0, , , , , , , ,1665976459204,308, , , ,38,3145728, , , , ,26,17,445,17, ,23, , ,3,20, , , , ,1, , , , , , , , ,7521,23, , , , , , , , ,137544272,3, , , , , , ,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17, , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2022-10-17 03:15:20.328 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3233437,1752,86896,224, ,8, ,93, , , , , , , , , ,8,7, , , ,1,2,9, ,102, , , , , , , , , , , , , , ,3423,2,2318,2318, , , , , ,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1665976099918, , , , , , ,0, , , , , , , ,1665976519549,350, , , ,37,3145728, , , , ,42,18,508,18, ,24, , ,3,21, , , , ,1, , , , , , , , ,10800,24, , , , , , , , ,143835728,2, , , , , , ,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2022-10-17 03:16:20.343 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3240973,1752,94432,224, ,8, ,92, , , , , , , , , ,8,7, , , ,1,2,9, ,102, , , , , , , , , , , , , , ,3423,2,2318,2318, , , , , ,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1665976099918, , , , , , ,0, , , , , , , ,1665976579873,392, , , ,38,3145728, , , , ,42,18,517,18, ,24, , ,3,21, , , , ,1, , , , , , , , ,8168,24, , , , , , , , ,150127184,2, , , , , , ,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2022-10-17 03:17:20.370 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3248509,1752,101968,224, ,8, ,92, , , , , , , , , ,8,7, , , ,1,2,9, ,102, , , , , , , , , , , , , , ,3423,2,2318,2318, , , , , ,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1665976099918, , , , , , ,0, , , , , , , ,1665976637319,433, , , ,44,3145728, , , , ,29,18,494,18, ,23, , ,3,21, , , , ,1, , , , , , , , ,8150,23, , , , , , , , ,156418640,3, , , , , , ,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2022-10-17 03:18:20.397 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3256045,1752,109504,224, ,8, ,92, , , , , , , , , ,8,7, , , ,1,2,9, ,102, , , , , , , , , , , , , , ,3423,2,2318,2318, , , , , ,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1665976099918, , , , , , ,0, , , , , , , ,1665976697802,475, , , ,44,3145728, , , , ,27,18,469,18, ,24, , ,3,21, , , , ,1, , , , , , , , ,8226,24, , , , , , , , ,162710096,2, , , , , , ,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
2022-10-17 03:19:20.409 UTC,0,0,0,0, , , , , , , , , , , , , , ,589,3265869,1752,119328,224, ,9, ,99, , , , , , , , , ,9,7, , , ,1,2,9, ,110, , , , , , , , , , , , , , ,3423,2,2318,2318, , , , , ,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1665976099918, , , , , , ,0, , , , , , , ,1665976758292,517, , , ,44,3145728, , , , ,32,18,455,18, ,24, , ,3,21, , , , ,1, , , , , , , , ,10907,24, , , , , , ,2,58,65760256,4, , , , , , ,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , , , , , , , , , , ,0,0, , , , , , , , , , , , , , , , , , , , , 
